epoch,accuracy,auc,false_negatives,false_positives,loss,mean_absolute_error,mean_squared_error,precision,recall,root_mean_squared_error,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_mean_absolute_error,val_mean_squared_error,val_precision,val_recall,val_root_mean_squared_error,val_true_negatives,val_true_positives
33,0.9105548858642578,0.9027119278907776,453592.0,2689960.0,0.24379685521125793,0.11620158702135086,0.10014601796865463,0.2010117918252945,0.5987119078636169,0.3164585530757904,25736504.0,676748.0,0.9176897406578064,0.9022444486618042,20216.0,132381.0,0.22552654147148132,0.11514800786972046,0.1015831008553505,0.19838564097881317,0.618407666683197,0.3187209665775299,1248241.0,32762.0
34,0.9108747839927673,0.9026084542274475,452276.0,2689944.0,0.2430962771177292,0.11615154892206192,0.100211001932621,0.2013249397277832,0.5998761653900146,0.31656119227409363,25736520.0,678064.0,0.9178515672683716,0.9016842246055603,20093.0,132332.0,0.2248460352420807,0.11524848639965057,0.10153655707836151,0.19904126226902008,0.620729386806488,0.31864798069000244,1248290.0,32885.0
35,0.9111124277114868,0.9031850099563599,450247.0,2689700.0,0.24193409085273743,0.11601660400629044,0.09999636560678482,0.20182040333747864,0.6016711592674255,0.31622201204299927,25736764.0,680093.0,0.9184040427207947,0.901355504989624,20445.0,131982.0,0.2248784601688385,0.11575101315975189,0.1015484407544136,0.1977509707212448,0.6140850782394409,0.3186667561531067,1248640.0,32533.0
36,0.911517322063446,0.9028590321540833,448958.0,2691010.0,0.24152661859989166,0.11598079651594162,0.10013698786497116,0.20204709470272064,0.6028115153312683,0.3164442777633667,25735444.0,681382.0,0.918549120426178,0.9019903540611267,20076.0,132347.0,0.22410814464092255,0.11516356468200684,0.10150054842233658,0.19910559058189392,0.621050238609314,0.31859153509140015,1248275.0,32902.0
37,0.9118919372558594,0.903197169303894,447158.0,2691031.0,0.24045364558696747,0.11585422605276108,0.10016219317913055,0.2024715095758438,0.6044039726257324,0.31648412346839905,25735432.0,683182.0,0.9184486865997314,0.9011807441711426,20253.0,132156.0,0.22404249012470245,0.11550021916627884,0.1015106663107872,0.19847647845745087,0.617709219455719,0.3186073899269104,1248466.0,32725.0
38,0.9119604229927063,0.9031415581703186,446459.0,2690735.0,0.23980821669101715,0.11582563072443008,0.10013201832771301,0.20265446603298187,0.6050223708152771,0.31643640995025635,25735732.0,683881.0,0.918537974357605,0.9013249278068542,20094.0,132270.0,0.22400900721549988,0.1153656467795372,0.10151150077581406,0.19911113381385803,0.6207104921340942,0.31860873103141785,1248352.0,32884.0
39,0.9122115969657898,0.9033286571502686,444737.0,2691002.0,0.23914042115211487,0.1157432571053505,0.1001194640994072,0.2030450701713562,0.6065458059310913,0.31641659140586853,25735452.0,685603.0,0.9187109470367432,0.90202796459198,20040.0,132270.0,0.22293272614479065,0.11513157188892365,0.10147925466299057,0.19937291741371155,0.6217297911643982,0.31855809688568115,1248352.0,32938.0
40,0.9125096201896667,0.9035587310791016,443181.0,2690265.0,0.23798054456710815,0.11562053114175797,0.100084587931633,0.20345653593540192,0.607922375202179,0.3163614869117737,25736196.0,687159.0,0.9186941981315613,0.9024646282196045,19782.0,132483.0,0.2227373719215393,0.11482705175876617,0.10145017504692078,0.20036335289478302,0.6265997290611267,0.3185124397277832,1248139.0,33196.0
41,0.9128094911575317,0.9037400484085083,442754.0,2690543.0,0.23732106387615204,0.11558599770069122,0.10001539438962936,0.20354047417640686,0.6083001494407654,0.31625211238861084,25735918.0,687586.0,0.919162929058075,0.9022606015205383,19688.0,132527.0,0.22287556529045105,0.11478666216135025,0.10144214332103729,0.2007634937763214,0.6283740401268005,0.3184998631477356,1248095.0,33290.0
42,0.913198709487915,0.9037539958953857,439722.0,2691888.0,0.23674295842647552,0.11548380553722382,0.10005676001310349,0.2041734755039215,0.6109825372695923,0.31631749868392944,25734570.0,690618.0,0.9188895225524902,0.9028302431106567,19753.0,132469.0,0.2226906269788742,0.11475468426942825,0.10145580768585205,0.20052023231983185,0.6271471381187439,0.31852132081985474,1248153.0,33225.0
